Blog	fit	songwriter	size	needed	nature	crowd	bottom	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	era	production	ended	tomorrow	caught	food	evening	obviously	similar	although	camera	meet	including	university	key	http	beats	met	movies	personal	father	fuck	themselves	label	august	zero	acts	chart	entire	hair	excellent	detroit	figure	jazz	cast	focus	store	solo	sonic	questions	nick	meaning	g	april	twitter	theme	score	type	current	date	data	definitions	padding	twin	acoustic	act	imagine	relationship	sex	rose	points	clearly	edition	drum	co	cm	ca	tstyle	cd	moments	kept	minor	december	hall	el	en	ep	recorded	genre	liked	gt	download	click	ben	bed	parker	anyway	vinyl	loud	near	www	language	bowie	audience	field	deluxe	starting	titled	search	throughout	create	understand	bill	excited	per	groove	national	center	buy	several	christmas	ok	melody	smith	fucking	brain	table	k	worked	previous	brought	son	support	awesome	hop	debut	johnny	continue	un	uk	decade	meant	player	interview	inspired	welcome	rhythm	happen	british	floor	rules	wolf	instrumental	history	cave	sounded	win	stories	whose	features	subject	san	mouse	human	character	text	latin	nearly	general	members	para	recording	fans	matt	onto	hearing	plus	copy	unfortunately	ideas	alt	v	expect	hotel	wanna	river	wall	whether	beauty	busy	result	asked	success	tune	slightly	films	beatles	complete	certain	van	elements	produced	included	indie	business	area	aren	building	february	college	singing	becomes	mentioned	coast	overall	orphan	career	began	effect	starts	bar	jones	main	voices	among	collection	mention	bear	alive	metal	ray	cambria	longer	quick	sessions	stream	review	archive	hip	various	became	women	pure	lead	june	golden	service	singer	dave	shadow	begin	choice	internet	wants	ascii	series	november	followed	land	process	length	jam	web	electronic	amount	musical	peel	non	vocals	america	verse	using	beyond	station	feels	culture	chris	popular	michael	ryan	tunes	widow	hits	parts	north	likely	recordings	fantastic	seven	somehow	round	visit	drummer	images	sitting	facebook	absolutely	epic	planet	access	despite	que	brother	october	saturday	news	level	featuring	musicians	folk	feat	bought	perhaps	difficult	straight	episode	possible	possibly	unique	team	spot	industry	image	content	section	pick	action	archives	information	w	session	synth	recent	link	led	lee	standing	doubt	sister	hansi	thoughts	dr	indeed	entirely	okay	mostly	ground	concert	media	site	fully	bass	towards	seeing	himself	classic	shit	digital	effort	question	margin	totally	drums	material	include	pay	spend	giving	enjoyed	pagination	lo	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	joe	events	easily	september	added	recently	pt	due	pm	mountain	built	steve	particularly	january	guitarist	example	desire	brilliant	large	magic	system	listened	ghost	total	south	loved	brothers	certainly	presented	usually	truly	cannot	los	issue	wonderful	damn	noise	perfectly	jeff	immediately	peter	phone	important	f	apparently	mid	mix	add	jack	plenty	approach	games	quickly	gig	based	happened	gives	releases	ya	missed	underground	birthday	remix	july	piano	mike	present	boston	season	punk	bandcamp	via	soundtrack	major	vocal	familiar	lucky	eventually	guitars	title	heaven	event	albums	plays	control	quality	playlist	broadcast	definitely	lyrics	lake	theatre	normal	parent	particular	dj	dad	dan	soft	created	venue	changed	changes	driving	earlier	font	closer	simply
FOLK IS NOT HAPPY	0	3	0	0	4	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	4	0	0	0	0	0	9	0	0	0	1	0	0	0	6	0	0	1	0	2	0	0	0	1	2	0	2	0	4	3	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	8	1	3	1	1	1	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	1	0	4	1	0	0	0	0	0	2	0	0	0	2	1	3	0	0	0	1	0	0	0	3	3	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	1	0	3	0	0	0	0	6	0	2	0	1	0	1	0	3	0	2	2	0	1	2	0	0	1	0	1	3	0	1	0	0	1	0	4	1	0	0	1	0	0	0	1	2	0	0	0	0	7	0	0	4	0	0	0	0	1	0	0	0	4	1	1	3	1	0	0	0	2	0	0	0	0	17	1	0	0	0	0	0	4	0	1	1	4	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	2	1	1	4	0	4	3	0	1	0	0	0	0	1	0	0	5	1	1	0	0	2	0	3	0	0	9	1	0	0	2	0	4	1	1	0	1	2	1	0	0	0	0	1	1	0	1	1	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	1	1	0	3	29	0	0	4	2	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	1	1	0	1	0	0	0	0	0	1	0	1	1	2	1	1	0	10	3	1	0	3	1	0	2	1	0	0	9	0	0	1	0	1	0	0	2	0	3	0	0	5	0	0	1	0	0	0	0	1	0	2	0	0	0	0	2	3	5	3	0	4	5	1	1	0	1	0	0	0	0	0	0	2	1	1	1	1	0	2	0	0	0	0	2	0	2	0	0	1	1	0	1	2	2	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	5	3	2	0	1	0	1	0	0	0	2	1	0	0	5	4	1	0	8	0	0	0	0	0	1	5	1	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	1	1
Angie Dynamo	1	0	0	1	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	3	1	2	0	0	0	0	0	1	0	2	0	8	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	0	3	2	0	0	0	1	1	1	0	4	1	0	0	0	0	0	1	1	0	0	4	3	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	1	1	3	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	3	2	1	11	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	3	0	1	0	0	0	0	3	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	8	0	0	0	0	6	0	1	0	3	2	1	0	0	0	0	0	0	4	0	1	0	0	0	1	0	1	0	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	1	1	0	5	2	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0
INDIEohren.!	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I Hate The 90s	8	8	1	1	2	3	1	1	0	3	1	1	1	8	0	15	1	2	0	5	0	1	7	5	6	6	1	0	1	4	12	0	0	13	5	7	0	2	7	1	2	4	3	3	68	2	1	9	5	2	1	5	3	1	4	1	1	0	19	4	0	3	0	1	4	0	0	1	2	1	5	0	0	0	1	7	4	1	3	1	4	5	1	4	5	5	0	1	0	8	1	3	2	4	2	2	0	39	37	3	0	0	0	0	3	3	0	1	1	2	1	0	1	2	4	14	1	3	26	2	5	0	0	4	0	0	0	8	1	0	14	6	2	3	5	1	1	0	24	11	4	6	2	8	0	3	49	5	2	0	3	3	2	5	1	2	4	4	1	15	3	0	3	2	6	1	0	1	1	7	3	1	2	1	0	3	0	0	4	0	24	0	21	10	3	2	0	5	2	2	1	3	1	0	3	5	3	2	0	3	2	2	1	10	3	2	0	2	6	1	1	2	13	16	32	4	3	2	7	3	11	4	0	1	3	2	0	14	20	0	0	3	2	2	12	10	8	0	1	6	14	3	0	1	3	3	0	13	0	2	4	17	0	1	7	3	1	1	31	6	1	0	0	0	2	0	6	5	33	4	1	26	5	0	1	1	7	2	1	37	7	0	2	3	1	1	2	15	5	12	3	9	0	1	1	6	3	11	0	7	0	0	1	40	1	1	0	0	5	5	1	10	0	10	6	0	1	3	6	5	9	0	1	2	1	7	0	1	0	1	3	0	5	3	2	3	1	3	1	0	4	3	0	1	0	9	3	0	1	3	0	0	3	3	0	2	2	3	2	1	0	1	24	0	1	3	8	2	2	7	0	0	0	22	11	3	3	1	1	2	0	5	0	13	1	0	19	2	0	1	0	2	5	0	1	7	11	1	0	6	0	3	0	9	2	4	49	0	0	8	2	3	0	0	4	2	2	0	13	2	0	4	5	0	3	3	2	1	15	1	4	3	1	1	4	6	3	16	12	1	12	1	3	2	6	1	15	0	0	14	1	2	8	1	6	5	8	8	2	4	0	26	0	2	2	15	6	1	6	11	8	2	8	0	27	2	1	1	0	1	0	9	3	0	2	0	2	1	1	1	4	0	0	0	2	3	4	0	4	1
Spinitron Blog	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	8	0	0	0	0	0	0	362	1	0	0	0	2	0	0	0	0	0	0	2	1	0	7	2	0	0	0	0	0	0	2	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	6	0	0	0	1	0	0	0	2	0	5	6	1	1	0	1	0	0	1	3	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	6	0	2	0	0	0	0	0	0	0	1	2	1	6	0	0	0	1	0	5	0	0	0	0	3	0	1	1	0	2	0	0	0	8	0	3	0	0	1	0	0	10	0	0	4	0	78	9	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	3	7	0	10	0	0	0	0	0	7	0	0	0	0	120	0	2	0	0	6	0	0	0	0	1	0	2	0	4	1	2	0	1	0	0	1	1	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	3	0	0	3	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	2	2	3	0	1	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	8	0	3	0	0	0	0	0	1	1	0	0	1	0	0	9	0	0	1	1	0	10	0	0	0	1	0	1	1	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	2	0	0	1
MAGGOT CAVIAR	1	2	1	0	5	9	2	1	0	2	0	0	4	1	2	39	0	2	0	22	2	17	5	5	4	5	1	7	0	4	17	0	3	26	4	2	0	2	2	0	1	10	1	6	49	8	1	2	3	2	5	18	2	1	4	2	1	3	12	8	0	5	0	3	11	0	7	3	5	10	19	0	0	0	0	9	8	3	0	1	1	0	1	20	7	5	0	2	0	53	0	1	5	11	6	1	1	54	107	4	1	0	8	1	1	3	0	3	36	1	0	0	5	0	29	1	14	3	6	0	1	3	0	9	1	0	5	9	0	9	41	14	2	1	9	0	5	1	2	2	13	4	5	8	0	4	76	2	11	0	34	20	0	14	7	4	2	3	0	6	3	0	0	2	3	2	7	1	2	11	7	2	0	0	3	1	1	0	3	1	16	0	53	25	0	9	6	16	12	0	1	1	0	4	4	3	1	1	4	0	1	0	1	10	4	2	1	0	27	1	1	0	5	25	19	2	2	2	0	6	3	2	0	1	2	0	0	20	7	2	2	10	1	5	0	7	6	2	1	1	2	3	0	1	6	140	3	0	6	8	6	16	4	0	14	24	2	2	13	1	0	1	6	5	1	0	13	7	9	9	4	11	2	1	1	0	10	313	8	15	2	1	3	8	6	1	5	2	5	5	2	3	0	8	6	7	6	26	3	20	3	1	3	8	3	13	18	0	0	1	2	18	0	1	15	11	7	2	10	9	5	0	6	16	2	1	0	2	29	5	0	5	8	0	0	2	0	9	2	11	6	258	0	14	4	1	0	2	12	3	0	1	2	4	4	0	4	7	12	1	9	6	24	12	1	3	12	1	6	1	2	0	0	13	21	6	6	2	5	0	0	6	0	17	8	10	23	7	5	4	0	14	3	0	0	9	6	15	2	13	9	0	3	8	3	10	6	0	1	4	12	7	0	4	1	14	3	1	7	4	8	6	5	0	0	4	2	0	3	3	0	0	4	3	0	0	5	20	6	3	4	1	4	1	3	27	7	2	1	21	0	3	8	9	3	10	0	0	11	0	1	15	2	11	2	4	9	5	4	15	3	7	6	1	41	1	1	25	1	39	1	6	0	1	1	1	5	4	2	5	0	5	10	2	1	0	12	0	5	5
The World's First Internet Baby	14	32	0	10	7	5	2	2	3	1	2	21	2	12	0	35	14	3	2	14	2	53	27	22	0	8	1	1	17	17	66	1	10	12	3	27	0	4	10	4	23	9	19	33	35	5	1	10	15	28	11	31	1	10	36	1	11	6	46	36	3	6	1	1	5	0	8	1	10	6	8	0	0	0	5	15	13	7	6	24	8	6	17	5	10	9	0	0	0	10	17	6	9	11	7	2	1	42	90	9	7	0	0	0	1	0	1	11	20	19	33	1	4	48	23	4	0	17	16	5	20	5	9	5	0	2	6	8	14	3	34	1	3	11	30	6	4	0	3	3	59	16	4	1	1	34	118	29	23	4	20	44	12	12	2	27	8	16	3	51	3	5	6	20	37	3	18	0	0	30	13	15	12	0	4	16	0	1	45	25	22	0	86	20	0	13	5	18	10	18	4	6	1	4	5	14	3	10	19	2	3	24	4	30	23	17	1	38	14	13	5	15	19	13	37	8	1	7	9	7	17	28	2	10	9	5	0	49	46	9	23	10	16	8	0	37	17	35	3	2	28	12	0	13	13	22	2	3	0	31	7	41	2	28	46	6	4	1	48	8	2	11	5	1	8	0	11	8	23	8	7	32	16	1	18	11	36	2	18	30	50	8	9	15	10	12	21	8	25	3	0	24	0	15	12	2	12	29	14	13	4	8	0	22	1	5	0	69	15	8	0	34	0	2	5	6	6	20	10	23	54	3	3	68	13	21	1	6	18	50	2	10	9	8	4	10	5	6	0	1	9	13	6	3	2	18	16	8	39	15	0	1	3	53	51	1	13	6	8	4	0	33	40	22	9	45	79	12	3	10	7	0	10	18	69	9	6	2	12	3	0	12	0	87	35	3	48	0	59	6	0	17	16	1	17	4	5	12	0	14	3	0	8	14	34	12	27	22	4	11	16	3	2	1	6	8	3	9	14	70	1	6	42	8	27	6	1	7	32	12	9	35	14	2	32	4	22	48	7	3	10	6	9	3	9	8	13	18	13	5	4	1	56	5	1	4	15	4	7	5	3	233	0	4	13	24	23	3	1	30	12	72	12	1	165	10	9	27	0	2	20	64	4	1	1	2	29	6	5	1	12	8	2	11	13	8	44	0	27	45
MTJR RANTS & RAVES ON MUSIC	6	57	457	7	28	10	169	1	4	27	6	12	9	37	4	64	12	5	566	53	2	36	41	7	40	14	4	7	5	10	11	16	11	57	3	19	1	17	15	6	33	18	14	18	64	36	11	19	9	14	9	22	16	5	25	14	27	11	115	84	7	37	3	12	68	0	313	11	6	19	41	4	152	152	20	55	18	3	8	12	29	7	12	349	30	42	0	4	304	517	23	14	311	32	19	13	49	752	183	20	51	4	19	0	52	10	9	5	70	19	13	0	27	21	11	35	285	9	31	10	27	33	7	28	6	1	20	11	15	1	23	1	4	31	42	7	9	311	18	18	35	20	18	13	13	11	210	25	12	1	37	24	8	22	1	43	15	26	5	28	33	5	32	47	57	34	10	6	19	32	87	6	50	20	30	10	3	305	16	11	62	305	119	52	50	8	3	35	9	3	25	168	18	8	8	5	41	16	9	32	14	36	7	22	14	6	4	3	32	3	41	32	80	17	41	10	7	2	11	57	3	15	12	5	25	8	152	26	43	9	2	12	23	13	62	15	135	21	31	17	26	22	350	10	3	53	7	6	5	12	174	33	3	40	50	75	65	6	76	34	41	12	8	2	8	304	54	58	21	36	23	84	31	3	115	7	79	2	14	97	24	4	23	36	5	25	29	71	7	40	24	18	156	28	23	28	2	85	19	28	8	10	4	52	11	8	0	3	25	21	8	11	0	13	73	7	10	16	69	40	65	21	4	17	5	13	1	9	4	47	12	7	8	14	4	15	7	13	8	4	143	17	58	20	3	26	34	13	14	17	304	10	4	4	14	0	13	13	14	1	3	14	88	11	5	22	64	7	37	16	7	304	12	78	49	34	2	2	6	6	152	13	1	110	8	25	159	3	20	16	2022	8	29	2	8	50	12	18	824	11	0	30	18	64	9	81	43	12	21	18	8	46	9	4	51	22	16	14	46	14	5	9	28	11	36	16	9	2	51	15	22	14	49	4	10	25	2	12	39	8	30	5	31	6	18	8	66	11	8	226	3	4	34	5	70	63	42	35	29	5	12	94	0	19	71	28	37	13	5	13	55	40	40	14	149	12	27	16	1	13	10	48	27	10	199	154	53	44	0	37	31	20	6	8	11	16	10	912	15	18
Tremble Under Boom Lights	24	1	27	54	4	156	13	25	2	7	5	14	30	7	2	33	3	23	7	16	26	22	11	73	5	34	55	36	6	9	24	10	20	13	6	9	33	4	51	7	24	11	50	17	94	5	7	7	2	89	24	1	280	20	10	3	7	96	17	31	15	10	6	17	5	0	14	3	11	15	11	0	2	1	8	10	18	27	1	14	16	17	64	5	94	6	0	0	2	60	16	25	6	8	8	2	2	9	31	8	27	0	4	3	40	34	1	27	41	14	31	28	5	0	30	7	0	17	16	24	20	10	17	20	29	13	7	11	18	62	2	5	13	5	6	69	24	40	15	15	20	24	4	10	14	12	16	7	6	7	11	9	24	16	39	13	20	9	30	6	73	9	11	5	40	0	22	22	21	7	3	6	23	2	11	7	14	2	3	27	24	2	28	29	8	25	20	17	77	3	3	1	8	12	149	11	5	23	41	8	2	11	71	8	22	28	2	7	55	30	85	1	7	23	5	13	39	7	31	3	13	15	14	16	15	26	1	15	32	14	10	62	7	32	4	6	26	27	5	12	22	18	2	15	42	6	4	10	3	23	9	25	19	14	20	6	16	11	17	25	4	22	14	22	8	2	20	6	30	16	26	15	28	2	1	29	23	5	26	18	17	8	17	18	40	39	16	9	8	9	1	13	1	14	18	3	17	13	6	15	38	7	20	23	3	26	0	47	2	5	14	18	0	16	6	18	12	26	10	13	7	6	99	3	20	38	6	29	44	6	16	32	3	8	9	18	28	13	6	14	10	8	5	25	16	8	11	21	12	21	2	24	3	4	12	2	7	11	16	3	12	18	81	13	38	23	23	212	13	22	21	2	48	67	22	11	42	25	18	30	1	3	1	56	12	18	18	41	12	55	17	32	15	5	41	4	15	13	8	7	38	3	5	18	36	3	5	13	7	19	13	19	15	13	6	20	22	19	16	22	4	48	46	19	11	47	9	37	29	8	5	57	11	39	16	4	63	18	14	14	49	5	11	9	40	32	15	43	7	9	1	23	12	24	0	12	3	18	9	9	10	32	0	8	6	10	6	20	21	10	4	29	8	4	21	6	17	24	5	1	16	28	4	0	2	3	28	25	12	28	6	6	8	12	4	27	37	10	13	24
www.doginasweater.com Live Show Review Archive	10	4	5	5	2	136	25	13	2	4	0	14	1	5	1	2	0	10	1	0	6	3	1	19	0	11	6	38	16	12	9	7	2	25	0	2	0	5	4	3	5	2	7	9	8	2	2	21	0	56	5	12	4	2	5	2	3	6	43	3	1	0	2	1	0	2	1	1	11	6	1	0	0	0	0	6	30	12	0	2	2	1	13	0	12	2	0	0	0	6	5	9	3	1	33	1	3	12	14	7	14	0	2	0	4	3	0	0	2	14	20	0	2	6	19	0	1	5	8	1	6	5	3	12	29	8	1	1	4	9	0	7	4	2	2	5	10	12	0	9	8	7	2	4	28	7	11	3	4	0	1	6	3	4	0	2	0	7	7	4	8	2	0	13	2	2	75	1	2	8	2	2	12	2	1	3	0	0	31	6	33	0	9	17	4	1	23	18	3	4	1	2	1	15	9	3	11	3	3	2	3	3	3	3	2	10	1	2	5	5	4	0	1	12	17	11	12	10	3	1	4	31	1	11	4	3	0	6	2	3	1	9	0	14	8	3	2	4	5	5	38	8	0	9	4	0	2	12	0	7	9	0	5	1	14	0	6	5	76	0	1	4	10	2	2	0	5	0	6	1	2	7	9	2	16	6	11	0	14	58	0	1	2	3	3	8	0	1	11	0	3	3	0	9	12	7	12	16	25	7	12	1	1	37	1	10	1	10	12	10	1	21	3	4	0	5	3	15	3	8	4	1	8	6	5	18	1	16	14	9	1	13	3	0	2	13	2	5	0	1	5	1	4	20	1	7	3	22	8	3	0	1	0	1	10	2	44	2	11	1	2	7	32	5	67	11	14	45	0	10	5	0	9	26	31	1	4	4	5	30	0	0	0	1	3	1	4	46	7	24	0	1	5	0	12	2	18	11	0	12	1	5	8	4	10	0	19	0	0	6	19	0	0	26	3	6	5	7	6	23	0	18	5	2	0	2	0	63	21	6	5	3	3	3	9	3	35	8	17	5	1	21	1	3	2	40	12	8	3	9	3	15	2	2	0	1	5	8	0	3	2	39	2	3	0	9	5	5	0	2	10	1	0	11	23	18	1	11	1	1	49	9	0	23	5	0	16	5	2	8	0	3	27	10	3	6	7	0	6	3
One Base on an Overthrow	4	1	3	0	0	6	4	4	1	2	1	6	7	4	0	19	2	1	1	28	10	9	1	21	5	8	2	0	14	6	67	10	3	15	0	4	0	3	1	0	1	0	42	5	20	1	1	0	0	2	2	4	0	11	1	0	1	21	11	5	0	2	12	7	4	0	2	1	29	2	2	0	0	0	2	3	6	5	0	1	0	1	0	5	3	2	0	1	0	52	1	5	5	0	1	0	0	22	29	0	14	0	9	3	0	1	0	62	26	4	4	1	1	2	2	2	2	8	0	0	2	1	3	5	1	7	4	1	2	20	0	0	0	1	1	28	5	0	2	3	2	3	5	2	6	2	1	2	1	0	2	3	5	13	5	1	0	3	2	2	11	2	0	1	9	3	22	1	2	0	2	0	1	1	0	1	0	0	2	2	3	0	10	2	6	8	2	56	27	1	1	1	0	3	2	5	1	4	2	0	3	1	6	1	3	4	0	1	1	1	0	1	2	4	15	0	5	6	3	0	3	8	1	3	0	3	0	0	0	2	7	1	0	7	7	6	7	10	0	2	18	2	0	3	2	2	0	13	0	1	0	3	0	0	10	1	4	1	7	6	1	0	3	4	5	0	1	0	1	1	1	4	1	2	1	3	0	1	5	10	0	1	5	2	2	0	1	4	0	2	0	2	1	6	6	0	4	7	0	8	8	0	2	9	2	3	3	1	0	5	1	3	0	1	4	7	0	8	1	1	2	1	32	2	0	13	0	6	2	1	0	8	1	0	2	3	9	9	2	2	5	1	1	1	3	1	0	12	10	0	0	1	0	0	1	19	20	3	2	0	3	0	13	9	10	4	1	50	1	6	0	0	26	6	2	2	5	3	4	0	0	4	0	54	0	3	5	6	6	13	0	2	7	0	6	1	5	4	0	6	0	8	1	3	1	0	0	1	0	4	0	1	2	11	4	27	1	1	6	4	1	11	2	0	0	12	2	8	23	4	0	1	7	2	4	3	12	2	16	0	2	2	7	0	3	1	3	9	4	6	3	8	5	3	1	0	3	8	4	19	1	21	26	0	0	2	3	1	2	8	6	6	0	0	6	6	6	11	0	1	11	4	1	0	1	0	4	0	2	7	1	0	3	3	2	7	12	0	6	1
La espiral de Joseph K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
